,site_area,structure_type,water_consumption,recycling_rate,utilization_rate,air_quality_index,issue_resolution_time,resident_count,electricity_cost
2754,1402,2,1000.0,88,83,12,35,0,1517.0
2755,864,3,1000.0,27,55,93,26,30,915.0
2756,4758,3,4320.0,57,72,195,1,117,3463.0
2757,3619,4,8175.0,47,71,141,10,0,4321.0
2758,3058,2,5241.0,31,47,163,38,0,2751.0
2759,2363,1,4346.0,89,84,183,24,100,3043.0
2760,615,2,1000.0,84,79,68,47,0,1078.0
2761,2884,3,2771.0,80,50,45,2,39,1993.0
2762,4435,1,4506.0,82,63,14,2,208,4189.0
2763,2990,1,4344.0,10,69,86,30,238,3819.0
2764,1442,1,1608.0,51,59,135,25,89,1986.0
2765,2224,2,3152.0,81,99,121,62,0,2674.0
2766,2834,3,4549.0,84,54,183,1,132,2306.0
2767,3267,2,2512.0,78,98,10,63,0,3448.0
2768,1637,4,2426.0,38,58,198,59,0,2561.0
2769,3027,1,6048.0,15,96,150,54,244,4438.0
2770,4617,4,5428.0,65,86,172,69,0,5175.0
2771,3920,3,5652.0,21,76,109,55,93,3223.0
2772,4406,1,1976.0,48,46,104,42,122,3488.0
2773,4137,4,4871.0,80,78,154,53,0,5015.0
2774,3453,1,1506.0,21,79,30,65,335,4746.0
2775,2867,3,1563.0,42,34,174,9,113,2264.0
2776,4721,3,6796.0,62,42,103,71,157,3419.0
2777,776,3,1000.0,28,92,65,51,62,1345.0
2778,2499,2,4013.0,67,68,107,16,0,2564.0
2779,1727,1,2659.0,52,97,111,53,139,2915.0
2780,4252,2,3162.0,82,74,60,70,0,3705.0
2781,4235,1,7360.0,54,46,7,62,167,3807.0
2782,1195,3,1438.0,28,88,64,37,17,1480.0
2783,1809,3,1118.0,46,88,152,61,49,1757.0
2784,4652,4,6914.0,20,37,16,57,0,4774.0
2785,3734,1,5840.0,65,59,157,45,145,3735.0
2786,4614,3,5428.0,34,32,151,17,154,3094.0
2787,2811,4,6037.0,78,46,114,2,0,3247.0
2788,3341,3,4493.0,54,80,51,37,240,2670.0
2789,4708,1,9363.0,71,53,62,54,108,3855.0
2790,4059,1,5737.0,23,93,60,42,39,3707.0
2791,3898,1,2035.0,86,100,76,29,206,3988.0
2792,1041,2,1516.0,43,78,185,65,0,1656.0
2793,3194,2,2686.0,69,49,118,40,0,3012.0
2794,1588,4,1749.0,73,58,89,11,0,2025.0
2795,3863,1,6178.0,79,39,31,58,73,3065.0
2796,524,1,1000.0,60,38,108,20,25,745.0
2797,2072,2,1250.0,51,100,34,66,0,2477.0
2798,3458,3,4591.0,30,92,15,31,45,2868.0
2799,4736,4,2661.0,14,62,136,5,0,5067.0
2800,2267,3,3588.0,75,53,18,50,88,1912.0
2801,2735,2,4544.0,79,61,167,9,0,2833.0
2802,700,2,1053.0,70,33,39,41,0,1056.0
2803,3698,3,2926.0,17,91,173,10,186,3120.0
2804,756,2,1000.0,75,51,108,53,0,1138.0
2805,4247,1,5002.0,71,52,130,49,90,3547.0
2806,2741,1,4263.0,29,55,153,26,214,3269.0
2807,3675,1,5690.0,13,78,100,67,33,3326.0
2808,4106,3,2339.0,24,73,71,36,116,3192.0
2809,3836,1,4568.0,65,51,69,23,249,4021.0
2810,913,1,1381.0,29,96,4,39,13,1352.0
2811,2514,1,3714.0,33,71,26,59,248,3391.0
2812,1881,2,4354.0,18,81,171,23,0,2587.0
2813,1598,1,1322.0,30,46,37,23,132,1589.0
2814,3926,2,7944.0,50,43,199,43,0,3776.0
2815,4155,1,2588.0,22,93,88,25,119,3857.0
2816,1409,1,2668.0,14,74,70,60,86,2694.0
2817,687,2,1218.0,73,93,77,33,0,1590.0
2818,4544,1,7502.0,55,59,127,33,146,4020.0
2819,4256,1,7364.0,87,42,168,65,291,4731.0
2820,2515,1,2508.0,80,55,57,47,56,2187.0
2821,2592,3,1568.0,79,61,156,33,153,2058.0
2822,4144,2,2266.0,68,75,178,38,0,3879.0
2823,2630,1,1439.0,85,80,197,24,243,3583.0
2824,857,1,1000.0,60,63,95,49,46,1239.0
2825,2922,4,2789.0,25,57,62,30,0,3565.0
2826,4757,2,8224.0,60,48,18,58,0,4181.0
2827,1997,2,1000.0,51,77,154,59,0,2774.0
2828,2658,3,5334.0,20,63,93,16,116,1982.0
2829,3055,3,4234.0,77,45,113,16,276,2049.0
2830,2842,3,2496.0,61,100,52,33,132,2171.0
2831,3451,2,3820.0,82,56,96,39,0,3804.0
2832,1738,2,1158.0,19,80,172,46,0,1988.0
2833,1473,1,3065.0,81,83,10,38,92,2332.0
2834,4465,4,5865.0,72,46,119,23,0,4734.0
2835,1550,2,1000.0,45,97,104,26,0,1983.0
2836,4201,1,8107.0,54,30,9,49,288,4449.0
2837,3280,4,2371.0,15,43,85,24,0,3249.0
2838,2088,4,3694.0,15,36,19,42,0,2311.0
2839,4378,4,5256.0,75,93,146,27,0,4900.0
2840,2868,3,4880.0,82,37,87,2,184,2147.0
2841,936,4,1154.0,73,83,129,8,0,1667.0
2842,3328,1,5464.0,47,53,167,41,327,4299.0
2843,2056,3,1927.0,78,84,145,13,85,1960.0
2844,4358,3,2471.0,70,30,81,22,48,2966.0
2845,1804,1,3289.0,87,98,1,47,143,2775.0
2846,2884,1,4014.0,83,61,46,47,119,3051.0
2847,682,4,1000.0,72,30,176,65,0,1294.0
2848,2089,1,3192.0,80,95,118,69,88,2690.0
2849,2087,3,1388.0,29,71,150,29,45,2150.0
2850,1159,1,1000.0,84,38,46,30,86,1514.0
2851,659,1,1602.0,86,53,78,46,17,1249.0
2852,4453,2,5849.0,73,48,123,6,0,3704.0
2853,1511,1,1665.0,90,80,88,6,97,2195.0
2854,552,2,1000.0,46,31,172,52,0,1051.0
2855,2807,2,4809.0,45,39,81,5,0,2383.0
2856,1728,1,1262.0,19,98,20,41,168,2805.0
2857,1535,1,2757.0,43,35,174,20,69,1337.0
2858,4202,1,6849.0,54,91,31,20,406,5068.0
2859,4545,1,3491.0,72,95,18,39,358,5190.0
2860,4949,3,6693.0,22,37,145,30,489,3650.0
2861,1764,2,1000.0,34,97,23,48,0,2704.0
2862,2384,1,4235.0,53,88,174,60,46,2607.0
2863,2309,2,4021.0,83,79,105,23,0,2433.0
2864,3667,1,1905.0,33,65,157,60,260,4230.0
2865,4297,1,8217.0,78,37,92,50,70,2947.0
2866,2841,1,4769.0,83,46,84,13,155,2798.0
2867,3914,3,3638.0,56,88,148,38,319,2963.0
2868,1317,4,1327.0,59,37,47,39,0,1700.0
2869,2937,3,1000.0,45,72,193,68,88,2701.0
2870,1388,1,2448.0,42,92,172,19,46,1531.0
2871,1167,1,2510.0,12,41,128,52,93,1802.0
2872,3124,2,4177.0,40,85,21,41,0,3367.0
2873,4732,3,7807.0,69,78,55,27,357,3537.0
2874,1318,4,1703.0,38,81,167,23,0,2504.0
2875,2688,1,4208.0,53,40,37,19,77,2446.0
2876,1606,1,2035.0,54,56,18,35,137,2206.0
2877,2724,2,4431.0,51,91,146,5,0,2663.0
2878,697,3,1000.0,30,38,193,5,27,677.0
2879,3171,3,1957.0,41,65,92,6,96,2670.0
2880,3992,2,6515.0,37,75,113,41,0,3738.0
2881,2948,4,5245.0,56,58,113,41,0,3589.0
2882,970,2,1608.0,56,97,174,54,0,1724.0
2883,2448,4,4500.0,26,70,57,44,0,3443.0
2884,4399,4,2807.0,38,57,184,48,0,4624.0
2885,2510,3,2451.0,57,93,175,37,71,2543.0
2886,4300,1,2357.0,11,53,44,56,88,3437.0
2887,4618,1,8154.0,42,45,27,33,245,4351.0
2888,4296,2,7442.0,72,51,59,35,0,3471.0
2889,4488,2,8455.0,77,76,4,6,0,4088.0
2890,734,3,1000.0,48,46,145,46,16,752.0
2891,1428,1,1651.0,14,30,164,36,121,1599.0
2892,4107,1,8530.0,77,60,24,44,168,4044.0
2893,1022,3,2310.0,61,41,165,7,49,1477.0
2894,4023,1,3853.0,61,49,128,7,87,2653.0
2895,2129,1,2448.0,38,48,167,29,92,1929.0
2896,1816,1,4305.0,46,34,182,65,89,2130.0
2897,3357,2,6876.0,17,44,94,60,0,3233.0
2898,1624,1,2704.0,29,54,166,35,146,2432.0
2899,3087,3,5874.0,50,64,94,57,202,2579.0
2900,1523,2,1000.0,79,84,75,29,0,2236.0
2901,1878,4,1033.0,45,92,152,38,0,3155.0
2902,3874,2,7219.0,41,76,150,12,0,4066.0
2903,2019,1,1741.0,14,96,170,58,34,2617.0
2904,726,1,1000.0,29,93,124,6,17,1234.0
2905,1391,1,1485.0,77,51,47,36,48,1656.0
2906,4572,2,6241.0,31,98,37,52,0,4713.0
2907,2757,1,4272.0,40,31,89,27,169,2737.0
2908,3288,1,3421.0,50,54,23,25,273,3662.0
2909,896,2,1180.0,14,90,132,40,0,1654.0
2910,2578,1,5551.0,19,34,187,36,150,2627.0
2911,4924,1,4776.0,84,57,144,60,204,4123.0
2912,3737,3,4849.0,46,95,164,29,203,3584.0
2913,4393,4,6551.0,65,44,14,3,0,4666.0
2914,2505,1,3826.0,33,84,193,13,118,2968.0
2915,2516,1,2814.0,25,67,19,68,165,2721.0
2916,3671,4,4215.0,11,52,157,11,0,4126.0
2917,3168,1,3575.0,24,43,143,48,13,2328.0
2918,2378,4,2224.0,50,61,43,60,0,2989.0
2919,1696,1,2405.0,72,73,186,2,32,2333.0
2920,2272,3,3708.0,58,99,131,70,43,2838.0
2921,661,1,1000.0,35,87,158,13,64,1167.0
2922,4476,4,7602.0,75,33,153,35,0,4600.0
2923,2251,1,2109.0,38,91,40,51,80,2658.0
2924,1275,2,1545.0,79,89,75,56,0,2001.0
2925,1439,1,1000.0,69,88,129,40,103,2128.0
2926,3720,1,4614.0,74,58,7,59,195,3694.0
2927,1039,3,1882.0,49,48,77,12,82,888.0
2928,1961,2,3362.0,20,46,151,16,0,2296.0
2929,855,4,1689.0,61,33,106,53,0,1563.0
2930,4104,2,6189.0,88,73,39,41,0,4254.0
2931,3823,3,7371.0,82,33,104,20,284,2465.0
2932,734,2,1038.0,73,88,152,40,0,1583.0
2933,2048,4,3865.0,90,41,61,61,0,2918.0
2934,2596,4,5361.0,12,76,57,34,0,3434.0
2935,4713,1,7317.0,20,36,70,19,146,3663.0
2936,2601,3,4613.0,37,41,159,45,32,2134.0
2937,2173,3,1000.0,71,100,116,29,212,2415.0
2938,2600,1,3488.0,57,83,86,19,22,2305.0
2939,4157,2,4927.0,37,87,173,56,0,4574.0
2940,4096,1,7353.0,55,92,102,27,337,4887.0
2941,4248,3,5634.0,73,44,153,2,375,2985.0
2942,3673,1,6172.0,64,66,41,40,284,4126.0
2943,2315,1,2171.0,11,85,6,65,14,2215.0
2944,4341,2,7376.0,84,60,55,8,0,4132.0
2945,2505,2,2953.0,25,44,174,27,0,2415.0
2946,4993,3,6325.0,20,31,177,30,484,2947.0
2947,1174,4,2068.0,12,42,172,25,0,1637.0
2948,886,2,1000.0,64,34,67,49,0,1222.0
2949,2658,1,2899.0,51,77,43,56,176,3286.0
2950,3161,3,3796.0,38,62,152,65,159,2703.0
2951,2564,2,3533.0,78,61,51,31,0,2470.0
2952,4351,2,7055.0,40,82,145,60,0,4159.0
2953,3753,1,6190.0,86,50,134,34,270,3921.0
2954,4766,2,2316.0,34,95,21,17,0,4262.0
2955,1239,1,1000.0,15,90,3,29,71,1960.0
2956,1901,3,3439.0,69,83,156,72,189,1869.0
2957,3759,2,7135.0,76,70,117,6,0,3896.0
2958,2777,3,5058.0,31,67,167,6,126,2479.0
2959,4404,2,6376.0,50,62,179,3,0,3894.0
2960,4423,1,5720.0,62,37,113,31,89,3329.0
2961,4714,3,3141.0,69,65,59,52,134,3051.0
2962,3727,2,4507.0,48,62,168,8,0,3476.0
2963,3331,1,4740.0,64,58,72,26,314,3910.0
2964,4258,2,6475.0,39,86,14,15,0,4591.0
2965,3012,1,4802.0,80,90,122,56,149,3166.0
2966,2651,3,4169.0,11,84,76,62,105,2271.0
2967,4175,2,4786.0,17,81,56,13,0,3961.0
2968,3245,3,4433.0,72,72,93,46,109,2649.0
2969,4366,1,3089.0,68,55,98,54,101,3501.0
2970,4264,1,3333.0,37,31,162,9,133,3519.0
2971,2722,4,2693.0,83,84,89,3,0,3628.0
2972,3292,3,5669.0,47,47,18,23,256,2223.0
2973,2197,1,2488.0,27,79,148,12,188,3236.0
2974,3962,1,7023.0,71,74,140,41,245,4504.0
2975,4563,1,3120.0,86,44,20,44,13,3232.0
2976,2024,2,2012.0,32,36,87,58,0,2015.0
2977,532,3,1707.0,74,56,25,11,48,1090.0
2978,4525,3,6861.0,49,69,55,19,368,2768.0
2979,3066,2,2508.0,69,46,30,59,0,2698.0
2980,3303,3,3134.0,14,61,29,37,102,2310.0
2981,4396,2,7685.0,27,45,23,10,0,4056.0
2982,4209,1,5462.0,47,92,95,33,290,4666.0
2983,1219,2,1189.0,38,89,157,20,0,2078.0
2984,1472,4,2174.0,35,81,120,44,0,2772.0
2985,4218,3,5179.0,69,78,153,13,236,3060.0
2986,4902,2,4117.0,45,78,101,63,0,4597.0
2987,2707,2,4624.0,38,55,81,14,0,2664.0
2988,4926,4,8694.0,40,80,104,54,0,5719.0
2989,4820,2,4531.0,72,72,53,42,0,4509.0
2990,3530,1,5855.0,22,99,112,38,161,3898.0
2991,4075,4,7227.0,80,100,123,72,0,4916.0
2992,3616,3,6430.0,49,38,75,36,193,2689.0
2993,3785,1,2425.0,79,73,20,9,284,4327.0
2994,1143,2,1314.0,11,93,150,5,0,1530.0
2995,694,2,1161.0,17,31,125,15,0,922.0
2996,4496,1,3751.0,83,65,27,24,288,4318.0
2997,988,4,1000.0,52,32,123,64,0,1683.0
2998,2704,2,4838.0,58,83,80,48,0,3279.0
2999,3157,3,3639.0,31,50,78,43,92,2193.0
3000,3776,1,3676.0,83,96,22,39,105,3300.0
3001,1602,2,1882.0,44,38,186,25,0,1743.0
3002,1741,1,2158.0,28,41,180,5,55,1514.0
3003,1015,3,1000.0,13,66,52,60,27,1522.0
3004,892,2,2044.0,28,66,161,7,0,1427.0
3005,1130,2,1456.0,29,96,67,18,0,2185.0
3006,4216,1,6354.0,13,85,104,6,198,4647.0
3007,2347,1,2536.0,58,92,11,12,80,2902.0
3008,3155,1,2996.0,35,55,129,33,54,2723.0
3009,1479,1,1586.0,12,75,24,21,130,2072.0
3010,3902,2,4374.0,61,82,87,58,0,3572.0
3011,4371,2,7789.0,45,89,94,42,0,4544.0
3012,777,2,1000.0,50,61,124,46,0,1442.0
3013,732,2,1260.0,79,91,195,3,0,1562.0
3014,2052,1,2741.0,60,76,171,57,183,2712.0
3015,3770,1,6548.0,25,90,161,53,26,3244.0
3016,2909,1,2894.0,56,33,133,62,108,2620.0
3017,4012,3,3792.0,89,31,94,13,59,2367.0
3018,525,2,1000.0,55,52,38,51,0,848.0
3019,960,1,2001.0,64,84,126,19,20,1364.0
3020,4264,1,5266.0,48,70,177,59,353,4992.0
3021,3931,3,5007.0,15,97,23,62,179,3265.0
3022,3983,3,6344.0,70,66,4,37,103,2809.0
3023,2494,2,2520.0,18,40,53,15,0,2312.0
3024,990,2,1000.0,20,65,53,70,0,1589.0
3025,1572,1,2142.0,74,44,9,12,44,1578.0
3026,3673,4,3113.0,68,96,81,50,0,4415.0
3027,715,3,1000.0,79,59,74,47,68,988.0
3028,2223,1,1000.0,16,86,93,16,149,2832.0
3029,2092,3,2170.0,70,91,106,16,21,2105.0
3030,3106,3,1215.0,66,62,68,67,37,2069.0
3031,658,1,1456.0,43,94,5,34,38,1491.0
3032,3813,2,5053.0,54,30,15,46,0,3386.0
3033,3341,1,3308.0,54,32,59,64,183,3056.0
3034,2276,1,2924.0,24,38,141,49,118,2470.0
3035,2552,3,5454.0,18,61,32,21,49,2202.0
3036,2795,1,4196.0,55,74,100,53,137,3041.0
3037,2196,3,3782.0,55,86,196,62,207,2566.0
3038,3493,4,6098.0,45,50,167,54,0,3935.0
3039,2969,1,5772.0,55,52,39,3,153,2987.0
3040,2446,2,4236.0,51,55,8,53,0,2436.0
3041,4309,3,3851.0,39,59,90,12,265,3263.0
3042,3283,3,6457.0,20,98,194,38,311,3375.0
3043,4144,3,6966.0,42,53,47,18,229,3197.0
3044,3000,1,4891.0,49,93,192,35,202,3975.0
3045,4145,2,2044.0,79,64,9,70,0,3532.0
3046,3145,2,6349.0,52,51,5,71,0,3031.0
3047,2849,4,5228.0,48,68,199,17,0,3492.0
3048,2432,1,3216.0,48,84,61,21,38,2637.0
3049,3794,4,2209.0,62,36,30,70,0,4246.0
3050,2257,1,1845.0,40,91,5,47,61,2628.0
3051,1616,4,2549.0,72,68,94,37,0,2824.0
3052,3067,2,3777.0,34,49,33,54,0,3008.0
3053,3999,2,4460.0,50,85,92,15,0,3962.0
3054,992,2,2005.0,59,95,66,11,0,1625.0
3055,3806,1,2440.0,68,44,189,9,49,2877.0
3056,1119,1,1000.0,58,50,11,68,15,1451.0
3057,3732,1,4975.0,39,63,37,3,292,4401.0
3058,4323,1,4845.0,54,64,134,13,174,3973.0
3059,2880,1,3046.0,77,34,63,6,272,3298.0
3060,2046,3,2170.0,62,85,118,1,138,1968.0
3061,4063,2,3208.0,35,36,119,5,0,3286.0
3062,2105,1,3718.0,80,82,122,66,86,2778.0
3063,4252,3,8018.0,49,73,76,41,185,2949.0
3064,2390,2,3020.0,21,87,131,50,0,2504.0
3065,1775,4,1998.0,10,71,20,7,0,2490.0
3066,3243,2,3184.0,79,47,77,21,0,2646.0
3067,2993,1,5979.0,10,35,163,53,245,3765.0
3068,856,2,1972.0,17,33,134,20,0,1029.0
3069,1369,2,1660.0,42,98,76,65,0,2323.0
3070,1385,1,1645.0,77,43,162,32,23,1649.0
3071,2501,1,4000.0,59,70,124,6,88,2618.0
3072,1783,1,3614.0,15,76,176,41,149,2798.0
3073,1119,1,1206.0,69,82,96,33,58,2020.0
3074,1382,2,2656.0,72,50,120,25,0,1838.0
3075,1296,2,2212.0,61,42,138,24,0,1080.0
3076,4142,1,8365.0,12,95,102,12,205,4445.0
3077,3925,2,3625.0,88,44,88,37,0,3501.0
3078,1796,2,3958.0,79,74,102,50,0,2310.0
3079,744,1,1268.0,15,94,23,9,59,1486.0
3080,3395,1,5186.0,46,75,21,67,245,3689.0
3081,1429,1,2691.0,60,32,170,4,116,1904.0
3082,1019,1,1601.0,36,46,178,54,94,1512.0
3083,3712,1,5806.0,55,46,176,6,94,3094.0
3084,2909,1,3732.0,78,49,121,66,151,3030.0
3085,507,2,1643.0,26,33,119,37,0,842.0
3086,3025,2,3146.0,26,44,21,45,0,2603.0
3087,3923,1,4631.0,32,86,78,14,331,4727.0
3088,2519,1,3365.0,48,74,17,43,84,2525.0
3089,4782,2,9316.0,42,56,43,66,0,4816.0
3090,4167,3,3601.0,75,49,108,7,174,2789.0
3091,4171,3,4588.0,19,35,31,55,87,3285.0
3092,3301,2,3022.0,49,47,185,37,0,2786.0
3093,585,1,2068.0,82,78,55,16,56,1373.0
3094,3615,1,3143.0,24,53,73,17,198,3470.0
3095,4732,3,5790.0,52,40,8,71,349,2994.0
3096,2968,1,2309.0,21,47,190,1,236,3255.0
3097,4119,4,2758.0,31,64,88,2,0,4314.0
3098,2136,2,4176.0,27,84,120,33,0,2447.0
3099,4083,2,6778.0,75,57,131,13,0,4142.0
3100,4509,1,4942.0,71,65,37,65,292,4672.0
3101,3826,2,3445.0,70,53,99,51,0,3647.0
3102,2718,2,4601.0,69,62,41,33,0,2968.0
3103,2717,1,1633.0,88,66,134,3,186,3301.0
3104,2869,1,6175.0,48,42,169,60,80,2523.0
3105,4138,3,5101.0,82,45,117,44,266,3092.0
3106,3003,2,2347.0,31,72,59,5,0,2933.0
3107,1443,2,2169.0,90,79,89,47,0,2364.0
3108,3337,1,6185.0,23,42,147,43,278,4029.0
3109,3160,3,3014.0,16,100,190,47,303,2673.0
3110,3436,3,3310.0,44,64,123,6,138,2805.0
3111,4944,2,5580.0,43,64,124,60,0,4751.0
3112,4447,2,7844.0,76,53,110,36,0,3828.0
3113,2176,2,3666.0,72,82,20,37,0,2687.0
3114,1696,2,1000.0,11,68,126,6,0,2302.0
3115,4605,1,3626.0,54,48,132,30,394,5102.0
3116,3287,4,3039.0,72,73,120,10,0,3690.0
3117,1961,2,1711.0,11,75,29,28,0,2470.0
3118,3818,1,3774.0,63,74,62,6,92,3411.0
3119,1166,2,1049.0,60,61,186,24,0,1514.0
3120,2676,3,1453.0,50,34,37,52,167,1731.0
3121,4243,1,4422.0,14,35,163,68,16,3108.0
3122,1100,1,1938.0,80,36,37,45,29,998.0
3123,3152,2,3060.0,34,44,22,27,0,2871.0
3124,4922,1,4015.0,10,49,150,68,53,3857.0
3125,4324,3,2290.0,18,88,57,13,22,3497.0
3126,4406,1,2338.0,75,33,175,19,304,4115.0
3127,1479,3,3488.0,76,69,133,33,29,1343.0
3128,2951,1,3672.0,13,94,106,13,14,2594.0
3129,1128,1,1015.0,30,64,173,7,61,1794.0
3130,2129,3,1824.0,70,73,86,33,123,1777.0
3131,4196,2,2817.0,35,36,142,32,0,3755.0
3132,3930,1,5185.0,53,51,0,45,81,3028.0
3133,4174,1,5810.0,46,52,99,56,186,3832.0
3134,4429,2,4800.0,87,94,91,72,0,4348.0
3135,3265,2,3461.0,19,49,32,46,0,3226.0
3136,4869,4,3822.0,83,61,109,19,0,4694.0
3137,615,4,1000.0,90,65,151,34,0,1626.0
3138,2503,2,4441.0,83,47,69,63,0,2574.0
3139,1192,2,3073.0,84,62,141,70,0,1536.0
3140,3662,2,2478.0,56,98,95,54,0,3838.0
3141,1605,2,2453.0,89,38,82,55,0,1652.0
3142,3508,1,5785.0,32,71,197,50,31,2849.0
3143,2661,1,4768.0,85,100,83,65,123,3256.0
3144,653,1,1131.0,63,33,124,45,49,839.0
3145,4199,1,7331.0,68,75,83,30,94,3591.0
3146,4910,1,2918.0,28,53,165,61,40,3683.0
3147,4286,2,6317.0,34,98,138,59,0,4387.0
3148,1564,3,1106.0,76,52,190,2,138,1552.0
3149,4700,2,7095.0,22,84,159,30,0,4571.0
3150,2413,1,4143.0,30,44,156,46,164,2621.0
3151,1716,1,1753.0,31,80,29,68,11,2016.0
3152,2901,2,4269.0,56,79,156,19,0,3206.0
3153,2272,1,1997.0,72,76,85,5,130,2380.0
3154,2460,2,2861.0,38,54,138,57,0,2777.0
3155,3280,4,4010.0,58,68,176,63,0,4305.0
3156,3371,1,2140.0,34,97,104,52,307,4545.0
3157,1160,1,2675.0,32,75,77,59,17,1689.0
3158,3135,2,1869.0,85,42,191,60,0,3241.0
3159,2829,4,4732.0,58,67,121,20,0,3655.0
3160,4454,3,8167.0,32,65,165,33,300,3441.0
3161,2950,3,4511.0,14,66,187,12,118,2804.0
3162,1632,1,3123.0,38,71,195,21,44,2324.0
3163,1199,4,1321.0,14,48,134,56,0,1622.0
3164,2538,1,4153.0,48,66,93,23,144,2800.0
3165,5000,1,4389.0,44,94,73,20,288,5249.0
3166,2679,3,4966.0,90,68,134,49,32,2588.0
3167,3338,4,4257.0,39,55,4,47,0,3532.0
3168,1373,1,1121.0,65,71,195,70,116,2387.0
3169,583,1,1017.0,11,91,46,45,55,1548.0
3170,1922,1,2229.0,24,82,35,35,28,2239.0
3171,3175,1,6426.0,60,96,142,72,88,3350.0
3172,3680,1,7281.0,32,79,38,27,81,2973.0
3173,4816,4,3398.0,35,98,37,47,0,5216.0
3174,4475,2,8216.0,20,58,35,32,0,3960.0
3175,1891,3,1000.0,33,31,114,29,106,1269.0
3176,3718,3,4743.0,18,47,1,71,241,2689.0
3177,4707,2,7026.0,87,89,14,53,0,4459.0
3178,1114,3,1000.0,80,43,83,56,22,1101.0
3179,3471,2,1748.0,19,69,54,43,0,3202.0
3180,4065,1,6718.0,81,93,76,4,208,4302.0
3181,4076,2,3743.0,87,59,187,64,0,3951.0
3182,770,2,1000.0,80,58,24,23,0,1144.0
3183,4566,3,7396.0,66,58,13,60,349,3401.0
3184,2968,4,5443.0,24,48,136,30,0,3613.0
3185,1890,2,2165.0,42,87,176,43,0,2402.0
3186,3854,3,3005.0,20,69,117,48,136,2544.0
3187,4635,1,2492.0,28,38,162,7,431,5095.0
3188,4107,3,6394.0,51,60,4,31,322,2851.0
3189,3083,1,3760.0,67,44,100,19,273,3728.0
3190,4573,1,6084.0,27,63,144,52,109,4188.0
3191,3575,1,6996.0,27,91,68,68,23,3254.0
3192,4406,2,5388.0,31,86,53,6,0,4254.0
3193,789,1,1045.0,61,50,174,60,60,1526.0
3194,2980,4,5650.0,53,83,176,12,0,3808.0
3195,3752,1,4863.0,40,66,73,38,18,2943.0
3196,778,4,1352.0,18,69,61,13,0,1454.0
3197,3424,3,5589.0,59,49,150,28,150,2762.0
3198,1080,1,1492.0,70,100,92,5,85,2363.0
3199,753,1,1000.0,28,47,15,46,47,1223.0
3200,4776,3,4293.0,61,73,134,46,30,3280.0
3201,1324,2,2202.0,64,85,42,27,0,1950.0
3202,4332,2,6756.0,34,46,171,26,0,3679.0
3203,1199,1,1375.0,88,71,136,62,38,1585.0
3204,1880,2,3215.0,78,100,70,68,0,2486.0
3205,4396,4,6177.0,84,57,79,72,0,4676.0
3206,2173,1,3351.0,22,50,187,12,93,2358.0
3207,3227,2,4023.0,43,66,137,52,0,3336.0
3208,3656,1,6417.0,81,52,126,37,187,3663.0
3209,3888,3,6837.0,34,77,123,25,201,3314.0
3210,4807,3,7805.0,84,88,132,39,393,3812.0
3211,883,1,1000.0,73,81,50,67,18,1379.0
3212,841,1,1619.0,19,46,6,19,24,1082.0
3213,2487,1,2215.0,26,67,21,71,190,3085.0
3214,4559,2,3143.0,14,30,23,24,0,3617.0
3215,3609,2,6242.0,76,62,125,51,0,3649.0
3216,4582,4,5786.0,19,73,103,45,0,4746.0
3217,3298,2,1802.0,36,49,41,8,0,2896.0
3218,3740,1,2596.0,65,76,149,72,234,4145.0
3219,2488,3,1398.0,16,98,162,45,190,2569.0
3220,3914,2,6446.0,38,71,115,2,0,4017.0
3221,2349,2,4349.0,58,55,182,30,0,2477.0
3222,805,1,1000.0,48,78,130,67,12,1610.0
3223,4113,1,7443.0,79,100,110,45,352,5377.0
3224,3249,4,3404.0,18,47,105,26,0,3614.0
3225,1635,2,2061.0,81,38,198,17,0,1401.0
3226,705,1,1729.0,70,95,18,38,31,1777.0
3227,3950,2,5782.0,87,89,169,67,0,4095.0
3228,4311,4,5062.0,63,66,173,57,0,4779.0
3229,4122,1,4581.0,18,76,71,33,304,4422.0
3230,4099,2,6772.0,69,58,124,72,0,3436.0
3231,3051,4,2192.0,61,92,147,64,0,4451.0
3232,4808,1,9683.0,84,44,32,23,470,5718.0
3233,809,3,2136.0,20,38,133,12,18,740.0
3234,3208,2,3782.0,44,95,14,8,0,3112.0
3235,2491,2,3538.0,84,30,68,72,0,2259.0
3236,771,1,1000.0,45,38,200,38,43,1323.0
3237,4142,1,4393.0,64,86,89,33,21,3428.0
3238,4586,2,8910.0,12,85,30,48,0,4741.0
3239,2322,1,1842.0,81,49,5,45,43,1792.0
3240,3773,2,6105.0,62,31,128,23,0,3269.0
3241,4849,1,4877.0,37,30,146,43,310,4666.0
3242,1020,1,1389.0,62,83,14,25,59,1688.0
3243,1476,4,1480.0,63,48,33,15,0,2067.0
3244,4222,2,5428.0,62,47,191,10,0,4065.0
3245,4051,4,7051.0,74,53,82,20,0,4437.0
3246,4605,1,4005.0,62,81,176,16,364,5074.0
3247,3273,2,4638.0,49,49,81,57,0,2828.0
3248,3052,1,4069.0,50,40,173,46,165,3118.0
3249,3332,3,3308.0,47,89,50,1,304,2569.0
3250,4407,3,7017.0,84,45,200,25,268,3156.0
3251,652,1,1000.0,38,42,10,56,56,1228.0
3252,3464,4,1054.0,40,82,3,46,0,4420.0
3253,3416,1,6508.0,70,35,81,59,21,2620.0
